  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
            105  2.36044E+03 -1.24435E+03  1.48311E+04 -1.24435E+03  1.48311E+04  8.36074E-02  0.00000E+00
            106 -2.36044E+03 -1.24435E+03 -1.48311E+04 -1.24435E+03 -1.48311E+04  8.36074E-02  0.00000E+00
            107  2.40796E+03 -1.29510E+03  1.51297E+04 -1.29510E+03  1.51297E+04  8.52880E-02  0.00000E+00
            108 -2.40796E+03 -1.29510E+03 -1.51297E+04 -1.29510E+03 -1.51297E+04  8.52880E-02  0.00000E+00
            109  2.44823E+03 -1.33892E+03  1.53827E+04 -1.33892E+03  1.53827E+04  8.67128E-02  0.00000E+00
            110 -2.44823E+03 -1.33892E+03 -1.53827E+04 -1.33892E+03 -1.53827E+04  8.67128E-02  0.00000E+00
            111  2.49673E+03 -1.39269E+03  1.56874E+04 -1.39269E+03  1.56874E+04  8.84300E-02  0.00000E+00
            112 -2.49673E+03 -1.39269E+03 -1.56874E+04 -1.39269E+03 -1.56874E+04  8.84300E-02  0.00000E+00
            113  2.53438E+03 -1.43519E+03  1.59240E+04 -1.43519E+03  1.59240E+04  8.97637E-02  0.00000E+00
            114 -2.53438E+03 -1.43519E+03 -1.59240E+04 -1.43519E+03 -1.59240E+04  8.97637E-02  0.00000E+00
            115  2.57486E+03 -1.48162E+03  1.61783E+04 -1.48162E+03  1.61783E+04  9.11987E-02  0.00000E+00
            116 -2.57486E+03 -1.48162E+03 -1.61783E+04 -1.48162E+03 -1.61783E+04  9.11987E-02  0.00000E+00
            117  2.61543E+03 -1.52891E+03  1.64332E+04 -1.52891E+03  1.64332E+04  9.26374E-02  0.00000E+00
            118 -2.61543E+03 -1.52891E+03 -1.64332E+04 -1.52891E+03 -1.64332E+04  9.26374E-02  0.00000E+00
            119  2.64505E+03 -1.56391E+03  1.66193E+04 -1.56391E+03  1.66193E+04  9.36881E-02  0.00000E+00
            120 -2.64505E+03 -1.56391E+03 -1.66193E+04 -1.56391E+03 -1.66193E+04  9.36881E-02  0.00000E+00
            121  2.68833E+03 -1.61581E+03  1.68913E+04 -1.61581E+03  1.68913E+04  9.52245E-02  0.00000E+00
            122 -2.68833E+03 -1.61581E+03 -1.68913E+04 -1.61581E+03 -1.68913E+04  9.52245E-02  0.00000E+00
            123  2.70830E+03 -1.64004E+03  1.70167E+04 -1.64004E+03  1.70167E+04  9.59335E-02  0.00000E+00
            124 -2.70830E+03 -1.64004E+03 -1.70167E+04 -1.64004E+03 -1.70167E+04  9.59335E-02  0.00000E+00
