time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
0.4133779264,-5.679691242,-5.199722839,-3.779895013,-4.320531726
0.4173913043,-5.072731436,-3.465677653,-2.72639555,-2.580075619
0.4214046823,-3.857070428,-1.287574254,-1.020413855,-0.4167803592
0.4254180602,-2.18935521,-0.4424620388,0.6855720537,0.378298679
0.4294314381,-0.2757142194,2.710652381,2.750716189,3.525485485
0.4334448161,1.637925953,4.045679806,4.648174082,4.804696554
0.437458194,3.328140516,6.202828608,6.251449577,6.916216592
0.4414715719,4.589142902,6.89822438,7.854724531,7.53511197
0.4454849498,5.27360242,9.980394716,9.250646672,10.60687832
0.4494983278,5.306449107,9.207013724,9.574635491,9.750740123
0.4535117057,4.693013588,9.230443462,8.95832867,9.730938871
0.4575250836,3.517174761,7.309012463,7.574197353,7.727753937
0.4615384615,1.930101867,5.387581463,6.190066035,5.724569002
0.4655518395,0.135703588,5.631448887,5.05026522,5.929373183
0.4695652174,-1.658694691,2.865616415,3.748798642,3.037861253
0.4735785953,-3.22078217,3.163547621,2.717378493,3.279461462
0.4775919732,-4.368651492,1.115725599,1.892254624,1.118545471
0.4816053512,-4.968648001,2.028848447,1.47786026,1.965561193
0.4856187291,-4.955889218,0.7926711802,1.214615179,0.6295237106
0.489632107,-4.341313914,1.009047767,1.832143019,0.9481473938
0.4936454849,-3.209634301,4.047573263,3.638463792,3.770570759
0.4976588629,-1.708572064,5.326788643,5.590142596,5.970185904
0.5016722408,-0.05059976293,7.326287556,7.541820481,7.5322932
0.5056856187,1.607372219,9.954774137,9.145860351,9.557812598
0.5096989967,2.992016579,10.34085996,10.16128758,9.902766779
0.5137123746,3.931683481,11.27999274,10.88059155,10.80595433
0.5177257525,4.276109377,11.9745358,11.2478421,11.44798426
0.5217391304,3.926967467,11.52224099,10.93177448,10.9303645
0.5257525084,2.841356213,10.55922253,9.989522275,9.898851613
0.5297658863,1.028362266,9.25285691,8.510963641,8.543327638
0.5337792642,-1.459417722,7.105392532,6.394204494,6.343071896
0.5377926421,-4.536390334,4.480524246,3.564688356,3.674880462
0.5418060201,-8.093787116,0.5201744416,0.1350160459,-0.3486231342
0.545819398,-12.11111136,-2.625240513,-3.294656452,-3.508794715
0.5498327759,-16.12843633,-6.083738691,-7.030070845,-6.999317766
0.5538461538,-20.23815502,-10.82656355,-11.09387274,-11.79204143
0.5578595318,-24.34787108,-14.35850662,-15.15767212,-15.35822196
0.5618729097,-28.06245548,-18.86646032,-18.84657135,-19.9257167
0.5658862876,-31.23567242,-21.13431778,-21.72521792,-22.1901823
0.5698996656,-33.66369308,-23.40216751,-24.01985267,-24.45463995
0.5739130435,-35.17626545,-25.56133336,-25.93667533,-26.71909204
0.5779264214,-35.66507611,-26.59451327,-27.2354848,-27.77575496
0.5819397993,-35.10809259,-28.27219555,-27.0702671,-29.49822197
0.5859531773,-33.58144039,-23.62099761,-24.62426888,-24.77587527
0.5899665552,-31.2540717,-20.45474959,-21.59665767,-21.55781345
0.5939799331,-28.36450001,-18.85587843,-18.83583516,-19.96987084
0.597993311,-25.22058682,-14.40513349,-16.07501305,-15.45781442
0.602006689,-22.07667169,-13.91866907,-13.58695742,-15.01019676
0.6060200669,-18.93275674,-9.610045531,-10.73482758,-10.64096169
0.6100334448,-16.20502663,-7.186292711,-7.882699547,-8.206748444
